year,estimated_yield_kg_per_ha,ndvi.early,ndvi.mid,ndvi.late,organic_carbon,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,annual_avg_rainfall_mm,monsoon_rainfall_mm,avg_annual_temp_C,avg_max_temp_C,avg_min_temp_C,avg_relative_humidity_pct,growing_degree_days_GDD,soil_ph,season_Rabi,season_Zaid,monsoon_onset_day,monsoon_end_day,predicted_yield_tuned,district_Angul,district_Balangir,district_Balasore,district_Bargarh,district_Bhadrak,district_Boudh,district_Cuttack,district_Deogarh,district_Dhenkanal,district_Gajapati,district_Ganjam,district_Jagatsinghpur,district_Jajpur,district_Jharsuguda,district_Kalahandi,district_Kandhamal,district_Kendrapara,district_Kendujhar,district_Khordha,district_Koraput,district_Malkangiri,district_Mayurbhanj,district_Nabarangpur,district_Nayagarh,district_Nuapada,district_Puri,district_Rayagada,district_Sambalpur,district_Subarnapur,district_Sundargarh,soil_type_Alluvial,soil_type_Red_Yellow,soil_type_Laterite,soil_type_Mixed_Red_Black,crop_Paddy,crop_Maize,crop_Moong,crop_Mustard,crop_Sunflower,crop_Vegetables,crop_Jute,season_Kharif
2023,2755,0.43,0.55,0.64,0.72,399.4,20.0,295.0,1327,1042,24.5,32.2,20.1,81.8,5110,5.75,True,False,,,3223.5618,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,False,False,False,False,False,True
2023,2095,0.45,0.71,0.54,0.45,344.0,12.3,235.7,1232,900,25.5,37.5,21.7,66.0,5110,5.57,True,False,,,2114.7761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,False,True,False,False,False,True
2023,1654,0.36,0.7,0.55,0.6,257.4,15.6,279.5,1375,953,25.3,35.7,20.0,71.3,5110,5.41,True,False,,,1773.6237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True,True,False,False,False,False,False,True
2023,3737,0.54,0.66,0.5,0.76,376.0,10.1,170.9,1570,1158,26.7,36.8,22.0,84.6,5110,6.52,False,False,,,3781.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False
2023,2650,0.4,0.56,0.54,0.79,209.8,11.5,235.4,1574,1043,25.1,34.9,21.4,79.3,5110,5.77,False,False,,,2744.9722,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,True,True,True,False,False,False,True
2023,2277,0.41,0.7,0.58,0.46,246.2,8.0,280.2,1221,911,25.7,32.7,18.8,60.7,5110,6.02,False,False,,,2438.1323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,True,False,False,False,False,True
2023,2036,0.41,0.67,0.6,0.4,379.5,8.7,237.5,1437,1123,25.9,32.8,21.7,61.6,5110,5.98,False,True,,,2048.6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False
2023,1845,0.4,0.71,0.6,0.76,251.2,24.6,257.7,1357,1171,24.0,36.1,18.5,71.6,5110,6.15,False,True,,,2052.3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,True
2023,2087,0.35,0.7,0.57,0.58,244.1,12.1,205.8,1237,1055,26.0,34.6,21.3,82.7,5110,6.73,False,True,,,2118.227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,True
2024,2945,0.5,0.71,0.63,0.53,227.6,19.3,163.9,1429,907,24.5,33.2,19.5,73.5,5110,6.96,True,False,,,3106.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,True
